region,country,2023,unit
Hải Phòng,Vietnam,2310280.00,人
Bakı,Azerbaijan,3141927.00,人
Fukuoka,Japan,6067703.00,人
Nevada,United States,4673330.00,人
Hainan,China,7958039.00,人
Almaty,Kazakhstan,2727039.00,人
Wien,Austria,2223236.00,人
Eşfahān,Iran,4359424.00,人
Qinghai,China,3444593.00,人
Maryland,United States,6475576.00,人
Anambra,Nigeria,4816325.00,人
Western Australia,Australia,2557323.00,人
Gaziantep,Turkey,2486261.00,人
Phnom Penh,Cambodia,2148413.00,人
Missouri,United States,6550350.00,人
Banaadir,Somalia,2120000.00,人
Córdoba,Argentina,3290806.00,人
Zamboanga,Philippines,2100000.00,人
La Habana,Cuba,3233589.00,人
Oregon,United States,4656822.00,人
Andhra Pradesh,India,35330925.00,人
Mazowieckie,Poland,3594736.00,人
Ḩalab,Syria,2563120.00,人
Baja California,Mexico,3932143.00,人
Minsk,Belarus,1992862.00,人
Alborz,Iran,2643099.00,人
Kasaï Central,Congo (Kinshasa),2052115.00,人
Khyber Pakhtunkhwa,Pakistan,6780660.00,人
Hokkaidō,Japan,4745108.00,人
Noord-Brabant,Netherlands,4277411.00,人
Davao,Philippines,1910167.00,人
Ningxia,China,6679535.00,人
Haryāna,India,10636350.00,人
Rivers,Nigeria,1892253.00,人
Tainan,Taiwan,1856642.00,人
Puerto Rico,Puerto Rico,3397593.00,人
Nīnawá,Iraq,2294540.00,人
Diyarbakır,Turkey,3596253.00,人
Haut-Katanga,Congo (Kinshasa),2523801.00,人
Edo,Nigeria,1960500.00,人
Paraná,Brazil,9394393.00,人
Adana,Turkey,3646096.00,人
Pichincha,Ecuador,1949114.00,人
Lusaka,Zambia,1966152.00,人
Indiana,United States,5398585.00,人
Aragua,Venezuela,2656432.00,人
Masqaţ,Oman,3872700.00,人
Montevideo,Uruguay,1719453.00,人
Ohio,United States,11899423.00,人
Budapest,Hungary,1686222.00,人
Kampala,Uganda,1680600.00,人
Conakry,Guinea,1667864.00,人
Caloocan,Philippines,1711300.00,人
Novosibirskaya Oblast’,Russia,1951444.00,人
Chhattīsgarh,India,6098463.00,人
Jawa Tengah,Indonesia,5557875.00,人
Punjab,India,11651786.00,人
Valencia,Spain,5002128.00,人
Guanajuato,Mexico,4775635.00,人
Puebla,Mexico,3960462.00,人
Đồng Nai,Vietnam,2172755.00,人
Fārs,Iran,2644625.00,人
Dushanbe,Tajikistan,1564700.00,人
Harare,Zimbabwe,1930067.00,人
Āz̄arbāyjān-e Sharqī,Iran,2630472.00,人
Jhārkhand,India,8203393.00,人
San José,Costa Rica,2071679.00,人
San Salvador,El Salvador,3146998.00,人
Sumatera Selatan,Indonesia,2134409.00,人
Hyōgo,Japan,5559267.00,人
Maritime,Togo,1646020.00,人
Niamey,Niger,1496260.00,人
Gwangju,"Korea, South",1490092.00,人
Pernambuco,Brazil,8467256.00,人
Abū Z̧aby,United Arab Emirates,2279031.00,人
Noord-Holland,Netherlands,3480489.00,人
Daejeon,"Korea, South",1475221.00,人
Auckland,New Zealand,1688912.00,人
Sverdlovskaya Oblast’,Russia,3381009.00,人
Kyōto,Japan,2578163.00,人
Dakar,Senegal,2894436.00,人
North Carolina,United States,8084117.00,人
Kayseri,Turkey,2873109.00,人
Virginia,United States,7440865.00,人
Kharkivska Oblast,Ukraine,1872969.00,人
Pointe-Noire,Congo (Brazzaville),1420612.00,人
Al Madīnah al Munawwarah,Saudi Arabia,1806983.00,人
Sofia-Grad,Bulgaria,1429576.00,人
Ulaanbaatar,Mongolia,1424440.00,人
South Australia,Australia,1515880.00,人
Praha,Czechia,1384732.00,人
Hovedstaden,Denmark,1740802.00,人
Uusimaa,Finland,2453111.00,人
Samsun,Turkey,2114708.00,人
Lombardy,Italy,5957862.00,人
Antalya,Turkey,3428766.00,人
Cibao Norte,Dominican Republic,2463989.00,人
Sulawesi Selatan,Indonesia,1894246.00,人
Rio Grande do Sul,Brazil,8565509.00,人
Atlántico,Colombia,2660674.00,人
Al Başrah,Iraq,2435637.00,人
Saitama,Japan,7635313.00,人
Khūzestān,Iran,4196884.00,人
Chihuahua,Mexico,3048720.00,人
Mandalay,Burma,2898764.00,人
Alberta,Canada,3513921.00,人
Wisconsin,United States,4829623.00,人
Pará,Brazil,6294883.00,人
Santa Fe,Argentina,3030599.00,人
Tanger-Tétouan-Al Hoceïma,Morocco,3393478.00,人
Antananarivo,Madagascar,5179890.00,人
Cagayan,Philippines,2537388.00,人
Rhode Island,United States,2163843.00,人
Tatarstan,Russia,2880038.00,人
Kepulauan Riau,Indonesia,2664889.00,人
Francisco Morazán,Honduras,2528862.00,人
Brussels-Capital Region,Belgium,1867801.00,人
Ash Shāriqah,United Arab Emirates,1341972.00,人
Lara,Venezuela,1597054.00,人
Cần Thơ,Vietnam,1256174.00,人
Gyeonggi,"Korea, South",12294808.00,人
Nizhegorodskaya Oblast’,Russia,1970530.00,人
Qom,Iran,1210545.00,人
Mombasa,Kenya,1200000.00,人
Woqooyi Galbeed,Somalia,1678000.00,人
Bay,Somalia,1580395.00,人
Hiroshima,Japan,2770589.00,人
Chiang Mai,Thailand,1717138.00,人
