region,country,2023,unit
Caldas,Colombia,998163.00,人
Shinyanga,Tanzania,593381.00,人
Hsinchu,Taiwan,1037497.00,人
Batman,Turkey,1408112.00,人
Sabah,Malaysia,1526984.00,人
Stavropol’skiy Kray,Russia,1415847.00,人
Rājshāhi,Bangladesh,2183025.00,人
Bắc Giang,Vietnam,478794.00,人
Idaho,United States,1575896.00,人
Zürich,Switzerland,1181038.00,人
Constantine,Algeria,878977.00,人
Nam Định,Vietnam,448225.00,人
Kongo Central,Congo (Kinshasa),1001229.00,人
Limpopo,South Africa,1049662.00,人
Ekiti,Nigeria,545258.00,人
Santiago de Cuba,Cuba,828272.00,人
Taoyuan,Taiwan,443273.00,人
Nusa Tenggara Barat,Indonesia,1306405.00,人
Savanes,Côte d’Ivoire,770442.00,人
Pasay,Philippines,440656.00,人
Nova Scotia,Canada,676775.00,人
Buryatiya,Russia,491651.00,人
P’yŏngnam,"Korea, North",1233280.00,人
Kurskaya Oblast’,Russia,630562.00,人
Jeju,"Korea, South",626300.00,人
Khomas,Namibia,431000.00,人
Santa Catarina,Brazil,5991151.00,人
Al Ismā‘īlīyah,Egypt,429465.00,人
Cusco,Peru,574352.00,人
Veracruz,Mexico,5497421.00,人
Sokoto,Nigeria,427760.00,人
Aomori,Japan,1418244.00,人
Nayarit,Mexico,513103.00,人
Mandaluyong,Philippines,452315.00,人
Porto,Portugal,2733841.00,人
Togdheer,Somalia,576787.00,人
Tverskaya Oblast’,Russia,803488.00,人
Yogyakarta,Indonesia,434539.00,人
Skopje,North Macedonia,441786.00,人
Sassandra-Marahoué,Côte d’Ivoire,865150.00,人
Kayin State,Burma,980632.00,人
Cross River,Nigeria,678495.00,人
Thái Nguyên,Vietnam,665234.00,人
Negeri Sembilan,Malaysia,577448.00,人
Tiranë,Albania,565464.00,人
North Kordofan,Sudan,486022.00,人
Kagawa,Japan,957642.00,人
Al Wāḩāt,Libya,424939.00,人
Callao,Peru,415888.00,人
Phú Thọ,Vietnam,518436.00,人
Roraima,Brazil,434443.00,人
Banjul,"Gambia, The",413397.00,人
Papua,Indonesia,615109.00,人
Toyama,Japan,1039452.00,人
Kordestān,Iran,1029523.00,人
Khon Kaen,Thailand,564441.00,人
Nariño,Colombia,1546887.00,人
Kisumu,Kenya,409928.00,人
Kocaeli,Turkey,1724180.00,人
Oromīya,Ethiopia,2500529.00,人
Songkhla,Thailand,600983.00,人
Sucre,Venezuela,671270.00,人
Nagasaki,Japan,1527228.00,人
Al Ḩudaydah,Yemen,558746.00,人
Qazvīn,Iran,766880.00,人
Jihomoravský Kraj,Czechia,639108.00,人
East Kazakhstan,Kazakhstan,543140.00,人
Gifu,Japan,2019480.00,人
Córdoba,Colombia,1641141.00,人
Rakhine State,Burma,1358554.00,人
Hatay,Turkey,1783361.00,人
Luhanska Oblast,Ukraine,1489294.00,人
Miyazaki,Japan,1034433.00,人
Barinas,Venezuela,507791.00,人
Zachodniopomorskie,Poland,999114.00,人
Khanty-Mansiyskiy Avtonomnyy Okrug-Yugra,Russia,1254354.00,人
Mahajanga,Madagascar,2603308.00,人
Al Jahrā’,Kuwait,393432.00,人
Tanga,Tanzania,631887.00,人
Lunda-Sul,Angola,509154.00,人
Adamawa,Nigeria,923854.00,人
Al Qādisīyah,Iraq,1166600.00,人
Bas-Sassandra,Côte d’Ivoire,806961.00,人
Emilia-Romagna,Italy,3644174.00,人
Aqtöbe,Kazakhstan,504663.00,人
Kigoma,Tanzania,908050.00,人
Elazığ,Turkey,446386.00,人
Zanjān,Iran,601348.00,人
Manisa,Turkey,1436278.00,人
Tarlac,Philippines,1620259.00,人
Shabeellaha Dhexe,Somalia,507538.00,人
Canterbury,New Zealand,447186.00,人
Zamfara,Nigeria,664529.00,人
Kanifing,"Gambia, The",807290.00,人
Australian Capital Territory,Australia,381488.00,人
Malabon,Philippines,422205.00,人
Hà Tĩnh,Vietnam,500518.00,人
Junín,Peru,553882.00,人
Loreto,Peru,508441.00,人
Mamou,Guinea,402670.00,人
Bryanskaya Oblast’,Russia,645240.00,人
Batangas,Philippines,2908494.00,人
Butuan,Philippines,372910.00,人
Gunma,Japan,1918941.00,人
Maluku,Indonesia,754169.00,人
Miranda,Venezuela,2231886.00,人
Nagano,Japan,1906091.00,人
Baguio,Philippines,414670.00,人
Sivas,Turkey,457177.00,人
Acre,Brazil,721901.00,人
Mandaue,Philippines,364116.00,人
Kangwŏn,"Korea, North",486061.00,人
Iligan,Philippines,363115.00,人
Coventry,United Kingdom,385168.00,人
New Jersey,United States,9027142.00,人
Keelung,Taiwan,362487.00,人
Geita,Tanzania,389447.00,人
Ivanovskaya Oblast’,Russia,594675.00,人
Azuay,Ecuador,441953.00,人
Cardiff,United Kingdom,361469.00,人
Hrodzyenskaya Voblasts’,Belarus,699755.00,人
Tuscany,Italy,3099518.00,人
Bengkulu,Indonesia,360495.00,人
Skåne,Sweden,921337.00,人
Utrecht,Netherlands,1300271.00,人
Sulawesi Tengah,Indonesia,673191.00,人
Vitsyebskaya Voblasts’,Belarus,742624.00,人
Zhambyl,Kazakhstan,632569.00,人
Moxico,Angola,469773.00,人
Artibonite,Haiti,1134548.00,人
Vinnytska Oblast,Ukraine,640358.00,人
Gedaref,Sudan,354927.00,人
Pampanga,Philippines,2437709.00,人
Gaṇḍakī,Nepal,383201.00,人
Tabasco,Mexico,1235302.00,人
Wakayama,Japan,868675.00,人
Mahilyowskaya Voblasts’,Belarus,732404.00,人
Osh,Kyrgyzstan,693494.00,人
Corrientes,Argentina,802075.00,人
Nara,Japan,1597612.00,人
Vladimirskaya Oblast’,Russia,957263.00,人
P’yŏngbuk,"Korea, North",740141.00,人
Oruro,Bolivia,631896.00,人
Arkhangel’skaya Oblast’,Russia,724839.00,人
Varna,Bulgaria,381778.00,人
Abay,Kazakhstan,415526.00,人
Holguín,Cuba,929727.00,人
Bình Định,Vietnam,661000.00,人
Antofagasta,Chile,558492.00,人
Plovdiv,Bulgaria,493020.00,人
Hawaii,United States,1126505.00,人
Gezira,Sudan,497117.00,人
White Nile,Sudan,459029.00,人
Belfast,United Kingdom,345006.00,人
Brestskaya Voblasts’,Belarus,905180.00,人
Shiga,Japan,1393204.00,人
Maseru,Lesotho,458042.00,人
Pavlodar,Kazakhstan,606805.00,人
Chon Buri,Thailand,1392803.00,人
Naga,Philippines,342769.00,人
Nohiyahoi Tobei Jumhurí,Tajikistan,1565952.00,人
Sfax,Tunisia,660649.00,人
Bà Rịa-Vũng Tàu,Vietnam,652754.00,人
Jeonbuk,"Korea, South",1079009.00,人
Sumqayıt,Azerbaijan,376100.00,人
Yamoussoukro,Côte d’Ivoire,340234.00,人
Đắk Lắk,Vietnam,491783.00,人
Morelos,Mexico,1150022.00,人
Kujawsko-Pomorskie,Poland,1074356.00,人
Reading,United Kingdom,370178.00,人
Fukushima,Japan,1712373.00,人
Santo Domingo de los Tsáchilas,Ecuador,370300.00,人
Lubelskie,Poland,897744.00,人
Rondônia,Brazil,1180935.00,人
Pirkanmaa,Finland,562632.00,人
Zabaykal’skiy Kray,Russia,529527.00,人
Valparaíso,Chile,1675884.00,人
Qoraqalpog‘iston,Uzbekistan,770133.00,人
"Krym, Avtonomna Respublika",Ukraine,1012850.00,人
Z̧ufār,Oman,361287.00,人
Kaluzhskaya Oblast’,Russia,735456.00,人
Gəncə,Azerbaijan,331400.00,人
Mississippi,United States,1508887.00,人
Sulawesi Tenggara,Indonesia,623116.00,人
Gangwon,"Korea, South",1116640.00,人
Nasarawa,Nigeria,416623.00,人
Dahūk,Iraq,654923.00,人
Lefkosía,Cyprus,381310.00,人
Belgorodskaya Oblast’,Russia,780784.00,人
Nueva Ecija,Philippines,2310134.00,人
Eastern,Zambia,340030.00,人
Ucayali,Peru,326040.00,人
Kōchi,Japan,626095.00,人
Sarawak,Malaysia,1338312.00,人
Cotabato,Philippines,1485997.00,人
Pays de la Loire,France,1673256.00,人
Kiambu,Kenya,571073.00,人
Tigray,Ethiopia,764182.00,人
Uíge,Angola,1167158.00,人
Niger,Nigeria,643259.00,人
Camagüey,Cuba,921370.00,人
Jujuy,Argentina,574758.00,人
Cuando Cubango,Angola,404717.00,人
,Reunion,354451.00,人
Southern Province,Rwanda,575592.00,人
Katsina,Nigeria,1235200.00,人
National Capital,Papua New Guinea,317374.00,人
Okinawa,Japan,1529690.00,人
Puglia,Italy,3442810.00,人
Jonglei,South Sudan,315351.00,人
N’Zérékoré,Guinea,622159.00,人
Balıkesir,Turkey,1193247.00,人
Sousse,Tunisia,656639.00,人
"Kingston upon Hull, City of",United Kingdom,343614.00,人
Smolenskaya Oblast’,Russia,543562.00,人
Vologodskaya Oblast’,Russia,718783.00,人
Golestān,Iran,820924.00,人
Sakha (Yakutiya),Russia,617028.00,人
Kurganskaya Oblast’,Russia,312803.00,人
Mordoviya,Russia,329508.00,人
Ḩā’il,Saudi Arabia,341338.00,人
Mie,Japan,1765627.00,人
Alto Paraná,Paraguay,414780.00,人
Tabora,Tanzania,461047.00,人
Nakuru,Kenya,479285.00,人
Hwangbuk,"Korea, North",436595.00,人
Puerto Princesa,Philippines,307079.00,人
Kauno Miestas,Lithuania,305120.00,人
Rukwa,Tanzania,305519.00,人
Orlovskaya Oblast’,Russia,382694.00,人
North Ossetia,Russia,425494.00,人
Akita,Japan,958427.00,人
Ash Sharqīyah,Egypt,1375459.00,人
Tocantins,Brazil,1048930.00,人
Quindío,Colombia,535058.00,人
Cauca,Colombia,1494524.00,人
Castille-Leon,Spain,1377712.00,人
Tekirdağ,Turkey,1142462.00,人
Newcastle upon Tyne,United Kingdom,344640.00,人
Puducherry,India,706808.00,人
Sīdama,Ethiopia,343915.00,人
Oaxaca,Mexico,2274371.00,人
Chuquisaca,Bolivia,310641.00,人
Jinja,Uganda,390119.00,人
Ar Raqqah,Syria,398649.00,人
Farg‘ona,Uzbekistan,1202174.00,人
Chaco,Argentina,833437.00,人
Hidalgo,Mexico,2280273.00,人
Bioko Norte,Equatorial Guinea,336366.00,人
Davao del Norte,Philippines,1040488.00,人
Papua Barat,Indonesia,536679.00,人
Stockport,United Kingdom,427579.00,人
Gôh-Djiboua,Côte d’Ivoire,713637.00,人
Podlaskie,Poland,636489.00,人
Galicia,Spain,1805140.00,人
Trabzon,Turkey,817062.00,人
Mizoram,India,742465.00,人
Bradford,United Kingdom,480788.00,人
Steiermark,Austria,486295.00,人
Grand Est,France,2120839.00,人
Chechnya,Russia,534709.00,人
Ancash,Peru,489300.00,人
Vestland,Norway,473345.00,人
Batna,Algeria,654285.00,人
San Miguel,El Salvador,510206.00,人
Midtjylland,Denmark,743503.00,人
Iwate,Japan,1329730.00,人
Tambovskaya Oblast’,Russia,533261.00,人
Uasin Gishu,Kenya,289380.00,人
Nottingham,United Kingdom,358215.00,人
Magway,Burma,743307.00,人
Alaska,United States,481027.00,人
Neuquén,Argentina,589396.00,人
Central,Zambia,322476.00,人
Sétif,Algeria,764379.00,人
El Oro,Ecuador,511741.00,人
Central,Paraguay,1801048.00,人
Bắc Ninh,Vietnam,490532.00,人
Ayeyarwady,Burma,1027069.00,人
Sucre,Colombia,878023.00,人
Cluj,Romania,469969.00,人
Ruvuma,Tanzania,343282.00,人
Tacna,Peru,286240.00,人
Śląskie,Poland,3340676.00,人
Masaka,Uganda,285509.00,人
Bolton,United Kingdom,385345.00,人
Kafr ash Shaykh,Egypt,821952.00,人
Moravskoslezský Kraj,Czechia,800651.00,人
Ljubljana,Slovenia,284293.00,人
Bago,Burma,990553.00,人
Táchira,Venezuela,762081.00,人
Chernihivska Oblast,Ukraine,518007.00,人
Araucanía,Chile,910681.00,人
Ica,Peru,489351.00,人
Phitsanulok,Thailand,594568.00,人
Sakarya,Turkey,826894.00,人
Buxoro,Uzbekistan,530053.00,人
Cuanza-Sul,Angola,1972558.00,人
Poltavska Oblast,Ukraine,761059.00,人
Kareliya,Russia,345702.00,人
Khersonska Oblast,Ukraine,523941.00,人
Lucena,Philippines,278924.00,人
Sulawesi Barat,Indonesia,551141.00,人
An Giang,Vietnam,616661.00,人
Qashqadaryo,Uzbekistan,623900.00,人
Sunderland,United Kingdom,436036.00,人
Santa Ana,El Salvador,575578.00,人
Dirē Dawa,Ethiopia,277000.00,人
Helmand,Afghanistan,333037.00,人
Puno,Peru,569872.00,人
Misiones,Argentina,709480.00,人
Mariy-El,Russia,346234.00,人
Khmelnytska Oblast,Ukraine,646135.00,人
,"Bahamas, The",274400.00,人
Jeonnam,"Korea, South",1314244.00,人
Dayr az Zawr,Syria,589488.00,人
Iaşi,Romania,376697.00,人
Māzandarān,Iran,1541054.00,人
Tiền Giang,Vietnam,546412.00,人
Yobe,Nigeria,569748.00,人
Ibaraki,Japan,2904056.00,人
Cherkaska Oblast,Ukraine,618848.00,人
Çorum,Turkey,637124.00,人
Kunduz,Afghanistan,335143.00,人
Entre Ríos,Argentina,1177805.00,人
Asturias,Spain,836180.00,人
Thái Bình,Vietnam,268167.00,人
Tarija,Bolivia,439181.00,人
Plymouth,United Kingdom,348640.00,人
Aswān,Egypt,511681.00,人
Potosí,Bolivia,409261.00,人
Kostromskaya Oblast’,Russia,336299.00,人
Murmanskaya Oblast’,Russia,529697.00,人
Maradi,Niger,284774.00,人
Xiangkhouang,Laos,304679.00,人
Mardin,Turkey,831287.00,人
Adıyaman,Turkey,424059.00,人
Saskatchewan,Canada,696161.00,人
Coast,Tanzania,584637.00,人
Kabardino-Balkariya,Russia,432852.00,人
Manipur,India,498485.00,人
Shan State,Burma,1040376.00,人
East Darfur,Sudan,264734.00,人
Milton Keynes,United Kingdom,409566.00,人
Chernivetska Oblast,Ukraine,344857.00,人
Kütahya,Turkey,402134.00,人
Constanţa,Romania,452655.00,人
Nangarhār,Afghanistan,323443.00,人
Chiayi,Taiwan,722196.00,人
Kouilou,Congo (Brazzaville),295926.00,人
Zhytomyrska Oblast,Ukraine,559813.00,人
Fukui,Japan,778043.00,人
Simiyu,Tanzania,305019.00,人
Novi Sad,Serbia,294303.00,人
Olongapo,Philippines,260317.00,人
Quảng Ngãi,Vietnam,411179.00,人
Gilgit-Baltistan,Pakistan,795993.00,人
Mişrātah,Libya,309880.00,人
Aydın,Turkey,1026030.00,人
Sennar,Sudan,402059.00,人
Takhār,Afghanistan,258758.00,人
Manabí,Ecuador,868847.00,人
Annaba,Algeria,351306.00,人
Sumska Oblast,Ukraine,624230.00,人
Free State,South Africa,1483607.00,人
Veneto,Italy,3292325.00,人
Derby,United Kingdom,336764.00,人
Westminster,United Kingdom,255324.00,人
Terengganu,Malaysia,337534.00,人
Alta Verapaz,Guatemala,1272683.00,人
Namibe,Angola,353439.00,人
Tokushima,Japan,687152.00,人
YeDebub Bihēroch Bihēreseboch na Hizboch,Ethiopia,737177.00,人
,Martinique,253995.00,人
Mon State,Burma,641442.00,人
Osmaniye,Turkey,434900.00,人
Chagang,"Korea, North",544697.00,人
Tacloban,Philippines,251881.00,人
Afyonkarahisar,Turkey,357036.00,人
Yuma,Dominican Republic,805605.00,人
Wolverhampton,United Kingdom,299192.00,人
,Guadeloupe,251259.00,人
Timiş,Romania,345118.00,人
Litoral,Equatorial Guinea,265432.00,人
Kiến Giang,Vietnam,458190.00,人
Baja California Sur,Mexico,945939.00,人
Türkistan,Kazakhstan,567135.00,人
Al Jabal al Akhḑar,Libya,303861.00,人
Blue Nile,Sudan,651908.00,人
Nord-Kivu,Congo (Kinshasa),772747.00,人
Central,Israel,1786823.00,人
Los Lagos,Chile,789236.00,人
Campeche,Mexico,821890.00,人
Kalimantan Tengah,Indonesia,725136.00,人
Schleswig-Holstein,Germany,1749712.00,人
Alibori,Benin,911862.00,人
New Hampshire,United States,1138356.00,人
Isparta,Turkey,297005.00,人
Navotas,Philippines,247543.00,人
Villa Clara,Cuba,811422.00,人
Yamagata,Japan,1010070.00,人
Aksaray,Turkey,278616.00,人
Swansea,United Kingdom,297376.00,人
Győr-Moson-Sopron,Hungary,299969.00,人
Barnsley,United Kingdom,362253.00,人
Komi,Russia,559362.00,人
Stoke-on-Trent,United Kingdom,312848.00,人
"Bosnia and Herzegovina, Federation of",Bosnia and Herzegovina,1788520.00,人
Āmara,Ethiopia,1466328.00,人
Kachin State,Burma,495599.00,人
Phú Yên,Vietnam,468611.00,人
Province Number One,Nepal,242548.00,人
Qyzylorda,Kazakhstan,370239.00,人
Saxony-Anhalt,Germany,1521716.00,人
Montagnes,Côte d’Ivoire,773634.00,人
Al Jawf,Saudi Arabia,488461.00,人
Hwangnam,"Korea, North",359778.00,人
Hải Dương,Vietnam,665432.00,人
Paramaribo,Suriname,240924.00,人
San Martín,Peru,468714.00,人
Amurskaya Oblast’,Russia,439313.00,人
Manica,Mozambique,272977.00,人
Hauts-de-France,France,2831743.00,人
Ivano-Frankivska Oblast,Ukraine,492745.00,人
Braşov,Romania,364665.00,人
Donga,Benin,592665.00,人
Uşak,Turkey,287309.00,人
‘Asīr,Saudi Arabia,645003.00,人
Al Minyā,Egypt,1067338.00,人
Gaborone,Botswana,235884.00,人
Zinder,Niger,323786.00,人
Aceh,Indonesia,964094.00,人
Granma,Cuba,845469.00,人
Lemesós,Cyprus,311018.00,人
Demerara-Mahaica,Guyana,235017.00,人
Lorestān,Iran,831785.00,人
Ibb,Yemen,557958.00,人
Hòa Bình,Vietnam,260471.00,人
West Kazakhstan,Kazakhstan,282993.00,人
Dolj,Romania,298286.00,人
Formosa,Argentina,368925.00,人
Southern,Sierra Leone,318180.00,人
Nana-Mambéré,Central African Republic,274019.00,人
Groningen,Netherlands,446026.00,人
Thiès,Senegal,653305.00,人
Valdesia,Dominican Republic,919716.00,人
Singida,Tanzania,281964.00,人
Saga,Japan,771209.00,人
Libertador General Bernardo O’Higgins,Chile,802979.00,人
Ormoc,Philippines,230998.00,人
Zacatecas,Mexico,918495.00,人
Lebap,Turkmenistan,528105.00,人
Sikasso,Mali,1841658.00,人
Shabeellaha Hoose,Somalia,550700.00,人
Barishal,Bangladesh,750258.00,人
Ordu,Turkey,733617.00,人
Košice,Slovakia,386841.00,人
Khorāsān-e Shomālī,Iran,436553.00,人
Béni Mellal-Khénifra,Morocco,1916417.00,人
Guantánamo,Cuba,420226.00,人
Jāzān,Saudi Arabia,567697.00,人
Liban-Nord,Lebanon,533470.00,人
Bretagne,France,1273490.00,人
Changhua,Taiwan,1245573.00,人
Cà Mau,Vietnam,275372.00,人
Toamasina,Madagascar,2439504.00,人
North Dakota,United States,573473.00,人
Ternopilska Oblast,Ukraine,357951.00,人
Manicaland,Zimbabwe,347667.00,人
Būshehr,Iran,781923.00,人
Rhineland-Palatinate,Germany,1910758.00,人
Bengo,Angola,437703.00,人
Novgorodskaya Oblast’,Russia,350114.00,人
Cork,Ireland,330796.00,人
Díli,Timor-Leste,222323.00,人
Thessalía,Greece,597195.00,人
Swindon,United Kingdom,243198.00,人
Tanintharyi,Burma,449236.00,人
Sóc Trăng,Vietnam,427279.00,人
Borgou,Benin,1451925.00,人
Volynska Oblast,Ukraine,454759.00,人
Yaracuy,Venezuela,518343.00,人
Cibao Sur,Dominican Republic,744143.00,人
Southern,Israel,910710.00,人
Prizren,Kosovo,238453.00,人
Kirovohradska Oblast,Ukraine,460533.00,人
Zanzibar Urban/West,Tanzania,234673.00,人
Kepulauan Bangka Belitung,Indonesia,562149.00,人
Galaţi,Romania,280874.00,人
Laâyoune-Sakia El Hamra,Morocco,321420.00,人
Qostanay,Kazakhstan,448137.00,人
Lubuskie,Poland,636180.00,人
Bukidnon,Philippines,1541308.00,人
Ayacucho,Peru,271988.00,人
Wellington,New Zealand,485524.00,人
Long An,Vietnam,215250.00,人
Mendoza,Argentina,1187723.00,人
M’sila,Algeria,613766.00,人
Al Muthanná,Iraq,330431.00,人
Pohjois-Pohjanmaa,Finland,382273.00,人
Flevoland,Netherlands,409920.00,人
Khatlon,Tajikistan,989086.00,人
Đồng Tháp,Vietnam,527677.00,人
Al Baḩr al Aḩmar,Egypt,367679.00,人
Maine,United States,728606.00,人
Norfolk,United Kingdom,475925.00,人
Luton,United Kingdom,225962.00,人
Sidi Bel Abbès,Algeria,315457.00,人
Trøndelag,Norway,314912.00,人
Oberösterreich,Austria,537086.00,人
Kríti,Greece,385589.00,人
Mecklenburg-Western Pomerania,Germany,792276.00,人
Zamboanga del Sur,Philippines,1038697.00,人
Kairouan,Tunisia,231727.00,人
Burgas,Bulgaria,320402.00,人
Albay,Philippines,1374768.00,人
Ninh Thuận,Vietnam,207998.00,人
South Dakota,United States,480379.00,人
Navarre,Spain,296759.00,人
Quetzaltenango,Guatemala,926755.00,人
Sagaing,Burma,806569.00,人
Kyivska Oblast,Ukraine,1010075.00,人
Lanao del Sur,Philippines,1100229.00,人
Solihull,United Kingdom,274932.00,人
Dumyāţ,Egypt,338473.00,人
Himāchal Pradesh,India,882374.00,人
Islington,United Kingdom,232789.00,人
Maule,Chile,882384.00,人
Pangasinan,Philippines,2772449.00,人
Bình Thuận,Vietnam,372281.00,人
Biskra,Algeria,406111.00,人
Katavi,Tanzania,220723.00,人
Wallonia,Belgium,2784462.00,人
Maluku Utara,Indonesia,413129.00,人
Sejong,"Korea, South",204088.00,人
Coquimbo,Chile,693924.00,人
Genève,Switzerland,420432.00,人
Lâm Đồng,Vietnam,402275.00,人
Khorāsān-e Jonūbī,Iran,371570.00,人
Loja,Ecuador,256151.00,人
Portuguesa,Venezuela,366767.00,人
Iringa,Tanzania,202490.00,人
Varsinais-Suomi,Finland,428023.00,人
Al Uqşur,Egypt,243811.00,人
Jizzax,Uzbekistan,389897.00,人
Arica y Parinacota,Chile,202131.00,人
Las Tunas,Cuba,536624.00,人
Al Marqab,Libya,281943.00,人
Shimane,Japan,738545.00,人
Hajdú-Bihar,Hungary,342330.00,人
Kalimantan Utara,Indonesia,265223.00,人
North Kazakhstan,Kazakhstan,250589.00,人
Extrême-Nord,Cameroon,675571.00,人
Cajamarca,Peru,566077.00,人
Chubut,Argentina,505273.00,人
West Virginia,United States,681711.00,人
Kilimanjaro,Tanzania,235472.00,人
Daşoguz,Turkmenistan,253476.00,人
,West Bank,861080.00,人
Zaire,Angola,547722.00,人
Aberdeen City,United Kingdom,209252.00,人
Negros Occidental,Philippines,2596250.00,人
Vĩnh Long,Vietnam,248031.00,人
Lạng Sơn,Vietnam,209030.00,人
Vorarlberg,Austria,413439.00,人
Turkana,Kenya,216981.00,人
Az Zāwiyah,Libya,200000.00,人
Mérida,Venezuela,299715.00,人
Prishtinë,Kosovo,212773.00,人
La Guajira,Colombia,948250.00,人
Nord-Ubangi,Congo (Kinshasa),260030.00,人
Ash Shīḩānīyah,Qatar,372925.00,人
Kwale,Kenya,298157.00,人
Friuli Venezia Giulia,Italy,700223.00,人
Kankan,Guinea,468136.00,人
Tasmania,Australia,340159.00,人
Atlántida,Honduras,308584.00,人
Rasŏn,"Korea, North",196954.00,人
Huánuco,Peru,243329.00,人
Podkarpackie,Poland,748536.00,人
South Cotabato,Philippines,793206.00,人
Higuamo,Dominican Republic,598340.00,人
Falcón,Venezuela,434617.00,人
Lunda-Norte,Angola,1023837.00,人
Mbarara,Uganda,195013.00,人
Tébessa,Algeria,501983.00,人
Düzce,Turkey,272919.00,人
Peterborough,United Kingdom,194000.00,人
Pingtung,Taiwan,716696.00,人
Aqmola,Kazakhstan,409529.00,人
Zambézia,Mozambique,558158.00,人
Ryanggang,"Korea, North",227990.00,人
Jalapa,Guatemala,417468.00,人
Kaesŏng,"Korea, North",192578.00,人
Croydon,United Kingdom,336427.00,人
Gorontalo,Indonesia,191897.00,人
Caquetá,Colombia,450677.00,人
Fianarantsoa,Madagascar,3703644.00,人
Yamaguchi,Japan,1087624.00,人
Trujillo,Venezuela,668933.00,人
Ouargla,Algeria,526702.00,人
Colima,Mexico,670102.00,人
Chahār Maḩāl va Bakhtīārī,Iran,455456.00,人
Nonthaburi,Thailand,553566.00,人
Quảng Ninh,Vietnam,818990.00,人
Adamaoua,Cameroon,346184.00,人
Pskovskaya Oblast’,Russia,329943.00,人
Centrale,Togo,232379.00,人
Pinar del Río,Cuba,582535.00,人
Eastern,Sierra Leone,556295.00,人
Balkan,Turkmenistan,489562.00,人
Davao del Sur,Philippines,760522.00,人
Yoro,Honduras,433224.00,人
Al Ḩasakah,Syria,528434.00,人
Cibao Nordeste,Dominican Republic,634379.00,人
Tarapacá,Chile,314981.00,人
Al Jabal al Gharbī,Libya,310106.00,人
"Bournemouth, Christchurch and Poole",United Kingdom,414811.00,人
Tottori,Japan,489370.00,人
Yamanashi,Japan,747884.00,人
Brandenburg,Germany,1656049.00,人
Samar,Philippines,729863.00,人
Kırıkkale,Turkey,280372.00,人
Świętokrzyskie,Poland,480578.00,人
Essex,United Kingdom,1157087.00,人
Plzeňský Kraj,Czechia,259329.00,人
Newfoundland and Labrador,Canada,312244.00,人
Semnān,Iran,515996.00,人
"Srpska, Republika",Bosnia and Herzegovina,777402.00,人
Bolu,Turkey,208229.00,人
Setúbal,Portugal,1127854.00,人
Saarland,Germany,905523.00,人
Tây Ninh,Vietnam,470978.00,人
Mangghystaū,Kazakhstan,455748.00,人
St. Helens,United Kingdom,263702.00,人
Niš,Serbia,197262.00,人
Bihor,Romania,251566.00,人
Haut-Uélé,Congo (Kinshasa),424287.00,人
Surxondaryo,Uzbekistan,462511.00,人
Syddanmark,Denmark,571557.00,人
Province Sud,New Caledonia,270397.00,人
Sorsogon,Philippines,828655.00,人
Khakasiya,Russia,214422.00,人
Braga,Portugal,845573.00,人
Kindia,Guinea,223795.00,人
La Rioja,Argentina,245921.00,人
Mukdahan,Thailand,180600.00,人
Prahova,Romania,306737.00,人
Sakhalinskaya Oblast’,Russia,342838.00,人
Edirne,Turkey,370918.00,人
Western,Zambia,235019.00,人
Capiz,Philippines,804952.00,人
Tiaret,Algeria,489241.00,人
Buikwe,Uganda,377163.00,人
Shamāl Sīnā’,Egypt,350376.00,人
Los Ríos,Ecuador,438661.00,人
Muğla,Turkey,940967.00,人
Gelderland,Netherlands,1676582.00,人
Tungurahua,Ecuador,212635.00,人
Chimborazo,Ecuador,203862.00,人
Al Muḩarraq,Bahrain,176583.00,人
Waikato,New Zealand,255153.00,人
León,Nicaragua,357899.00,人
Bejaïa,Algeria,429839.00,人
Nouakchott Sud,Mauritania,175969.00,人
Karaman,Turkey,187019.00,人
Amazonas,Brazil,1922391.00,人
Uppsala,Sweden,218925.00,人
Dagupan,Philippines,174302.00,人
Castille-La Mancha,Spain,1265053.00,人
Wajir,Kenya,264250.00,人
Cantabria,Spain,382370.00,人
Dytikí Elláda,Greece,388541.00,人
Basel-Stadt,Switzerland,205299.00,人
Kon Tum,Vietnam,172712.00,人
Kajiado,Kenya,454007.00,人
Maniema,Congo (Kinshasa),322005.00,人
Kaolack,Senegal,231408.00,人
Podgorica,Montenegro,172139.00,人
Cuanza-Norte,Angola,663818.00,人
Surigao del Norte,Philippines,561699.00,人
Calabria,Italy,1058557.00,人
Benue,Nigeria,239145.00,人
Niğde,Turkey,212510.00,人
Escuintla,Guatemala,824261.00,人
Warmińsko-Mazurskie,Poland,706655.00,人
Couffo,Benin,813882.00,人
Shamāl al Bāţinah,Oman,213312.00,人
San Luis,Argentina,313128.00,人
Central,Ghana,433840.00,人
Eastern Equatoria,South Sudan,318783.00,人
Al Marj,Libya,169540.00,人
Ajaria,Georgia,196641.00,人
Toliara,Madagascar,2656456.00,人
Atacora,Benin,1079580.00,人
Guárico,Venezuela,546660.00,人
Bordj Bou Arréridj,Algeria,476281.00,人
Redbridge,United Kingdom,204648.00,人
Gabès,Tunisia,290005.00,人
Jutiapa,Guatemala,534896.00,人
Mary,Turkmenistan,285108.00,人
Jubbada Hoose,Somalia,441116.00,人
Normandie,France,1132656.00,人
Bạc Liêu,Vietnam,334391.00,人
