GeoFips,region,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,unit
17000,Illinois,43653340000000.0,45997160000000.0,48608970000000.0,49961840000000.0,51148590000000.0,52857700000000.0,56007980000000.01,58915369999999.99,62406810000000.0,64930740000000.0,64967730000000.01,64584319999999.99,66392900000000.0,69180550000000.0,72547800000000.0,74289090000000.0,77229170000000.0,80259200000000.0,81356160000000.0,83282680000000.0,87102420000000.0,89560180000000.0,86067280000000.0,94677620000000.0,104035330000000.0,109834610000000.02,113724360000000.02,美元
18000,Indiana,18533630000000.0,19365990000000.0,20414730000000.0,20532510000000.0,21341960000000.0,22534930000000.0,23927850000000.0,24742830000000.0,25903030000000.0,27334080000000.0,27777450000000.0,26492500000000.0,28468580000000.0,29237380000000.0,30127740000000.004,31346690000000.004,32936090000000.004,33316380000000.0,34271659999999.996,35753580000000.0,37737690000000.0,38483870000000.0,37863360000000.0,42586380000000.0,47349290000000.0,49950310000000.0,52738110000000.0,美元
19000,Iowa,8462970000000.0,8777430000000.0,9312560000000.0,9492260000000.0,9866940000000.0,10532970000000.0,11714980000000.0,12286610000000.0,12767080000000.0,13759020000000.002,13774920000000.002,13709429999999.998,14249770000000.002,14902610000000.0,15855310000000.0,16241500000000.0,17373420000000.002,18147170000000.0,18383480000000.0,18712500000000.0,19315510000000.0,19626250000000.0,19860960000000.0,22387090000000.0,24275290000000.0,25403200000000.0,25702080000000.0,美元
20000,Kansas,7824230000000.0,8160970000000.0,8599050000000.0,8886970000000.0,9135900000000.0,9523630000000.0,9891370000000.0,10534390000000.0,11383180000000.0,12360890000000.0,12922320000000.0,12604970000000.0,12923570000000.0,13674710000000.0,14181210000000.0,14499929999999.998,15027610000000.0,15569900000000.0,16214450000000.0,16627360000000.0,17337300000000.0,17606880000000.0,17720960000000.0,19173810000000.0,21261160000000.0,22823240000000.0,23467320000000.0,美元
21000,Kentucky,11002010000000.0,11559270000000.0,11454960000000.0,11776790000000.0,12273120000000.0,12828960000000.0,13569450000000.0,14491490000000.0,15300979999999.998,15690000000000.0,16070020000000.002,15744010000000.0,16665629999999.998,17123810000000.0,17837060000000.0,18492060000000.0,18832640000000.0,19462120000000.0,19794480000000.0,20356400000000.0,21050910000000.0,22067880000000.0,21853970000000.0,23842890000000.0,26154070000000.0,27970750000000.0,29302100000000.0,美元
22000,Louisiana,12022880000000.0,12566730000000.0,13237579999999.998,13820429999999.998,14008279999999.998,15519870000000.002,17099960000000.0,19931420000000.0,20724980000000.0,20377130000000.0,21380350000000.0,20611150000000.0,22655560000000.0,23051870000000.0,23596090000000.0,23165270000000.0,24096500000000.0,23432420000000.0,22744030000000.0,23983070000000.0,25644440000000.0,25749900000000.0,23621630000000.0,26726359999999.996,29842450000000.0,31498859999999.996,32778209999999.996,美元
23000,Maine,3241280000000.0,3471469999999.9995,3722200000000.0,3892569999999.9995,4066410000000.0,4249340000000.0,4523310000000.0,4702810000000.0,4888930000000.0,5029130000000.0,5100190000000.0,5145120000000.0,5280250000000.0,5310450000000.0,5401850000000.0,5492480000000.0,5653740000000.0,5875580000000.0,6109220000000.0,6300060000000.0,6621600000000.0,6970870000000.0,7207710000000.001,7919389999999.999,8649330000000.0,9327000000000.0,9860600000000.0,美元
24000,Maryland,16936010000000.0,17977960000000.0,19143020000000.0,20527600000000.0,21700140000000.0,22680340000000.0,24344980000000.0,26179530000000.0,27379100000000.0,28261820000000.0,29290830000000.0,29828280000000.0,31393050000000.0,32492090000000.004,33186900000000.0,33989580000000.0,35174309999999.996,36731410000000.0,38649640000000.0,39971450000000.0,41077180000000.0,41939160000000.0,41345540000000.0,44775360000000.0,48490760000000.0,51560730000000.0,54276580000000.01,美元
25000,Massachusetts,24768680000000.0,26286880000000.0,28709140000000.004,29487640000000.004,29991580000000.0,30973609999999.996,32491900000000.0,34063780000000.0,35841830000000.0,37798560000000.0,38792340000000.0,38896390000000.0,40927000000000.0,42368490000000.0,44137390000000.0,45258040000000.0,46982490000000.0,49776700000000.0,51410800000000.0,53012940000000.0,55960500000000.0,58806950000000.0,59265300000000.0,64951140000000.0,69561210000000.0,73629630000000.0,78066620000000.0,美元
26000,Michigan,31108820000000.0,33715020000000.0,35187950000000.0,34912750000000.0,36337210000000.0,37612380000000.0,38876460000000.0,40282880000000.0,40253730000000.0,41061300000000.0,39163360000000.0,37170700000000.0,39317960000000.0,40835410000000.0,42614110000000.0,44147080000000.0,45612350000000.0,47922270000000.0,49475250000000.0,50510150000000.0,52524080000000.01,54023730000000.01,52967560000000.0,57511640000000.0,62700910000000.0,67381810000000.0,70661580000000.0,美元
